Species,Island,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(38.975, 40.35]","(18.56, 18.98]","(180.85, 183.8]","(3600.0, 3780.0]",MALE,"(8.589, 8.709]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(38.975, 40.35]","(17.3, 17.72]","(183.8, 186.75]","(3780.0, 3960.0]",FEMALE,"(8.948, 9.068]","(-24.757, -24.595]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(38.975, 40.35]","(17.72, 18.14]","(192.65, 195.6]","(3240.0, 3420.0]",FEMALE,"(8.35, 8.47]","(-25.403, -25.242]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(36.225, 37.6]","(18.98, 19.4]","(192.65, 195.6]","(3420.0, 3600.0]",FEMALE,"(8.709, 8.829]","(-25.403, -25.242]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(38.975, 40.35]","(20.24, 20.66]","(189.7, 192.65]","(3600.0, 3780.0]",MALE,"(8.589, 8.709]","(-25.403, -25.242]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(37.6, 38.975]","(17.72, 18.14]","(180.85, 183.8]","(3600.0, 3780.0]",FEMALE,"(9.068, 9.188]","(-25.242, -25.08]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(38.975, 40.35]","(19.4, 19.82]","(192.65, 195.6]","(4500.0, 4680.0]",MALE,"(9.427, 9.547]","(-24.918, -24.757]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(40.35, 41.725]","(17.3, 17.72]","(180.85, 183.8]","(3060.0, 3240.0]",FEMALE,"(8.589, 8.709]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(37.6, 38.975]","(21.08, 21.5]","(189.7, 192.65]","(3780.0, 3960.0]",MALE,"(8.589, 8.709]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(33.475, 34.85]","(21.08, 21.5]","(195.6, 198.55]","(4320.0, 4500.0]",MALE,"(8.47, 8.589]","(-25.242, -25.08]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(36.225, 37.6]","(17.72, 18.14]","(183.8, 186.75]","(3600.0, 3780.0]",FEMALE,"(8.589, 8.709]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(37.6, 38.975]","(18.98, 19.4]","(192.65, 195.6]","(3420.0, 3600.0]",FEMALE,"(9.068, 9.188]","(-25.08, -24.918]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(41.725, 43.1]","(20.66, 21.08]","(195.6, 198.55]","(4320.0, 4500.0]",MALE,"(8.589, 8.709]","(-25.242, -25.08]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(33.475, 34.85]","(18.14, 18.56]","(183.8, 186.75]","(3240.0, 3420.0]",FEMALE,"(8.47, 8.589]","(-25.242, -25.08]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(45.85, 47.225]","(21.08, 21.5]","(192.65, 195.6]","(4140.0, 4320.0]",MALE,"(9.068, 9.188]","(-24.918, -24.757]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(37.6, 38.975]","(18.14, 18.56]","(172.0, 174.95]","(3240.0, 3420.0]",FEMALE,"(8.709, 8.829]","(-25.242, -25.08]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(37.6, 38.975]","(18.56, 18.98]","(177.9, 180.85]","(3420.0, 3600.0]",MALE,"(8.589, 8.709]","(-25.08, -24.918]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(34.85, 36.225]","(18.98, 19.4]","(186.75, 189.7]","(3780.0, 3960.0]",FEMALE,"(9.188, 9.307]","(-25.08, -24.918]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(37.6, 38.975]","(17.72, 18.14]","(183.8, 186.75]","(3780.0, 3960.0]",MALE,"(8.35, 8.47]","(-25.242, -25.08]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(37.6, 38.975]","(16.88, 17.3]","(177.9, 180.85]","(3780.0, 3960.0]",MALE,"(9.547, 9.666]","(-25.403, -25.242]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(34.85, 36.225]","(18.56, 18.98]","(186.75, 189.7]","(3780.0, 3960.0]",FEMALE,"(9.188, 9.307]","(-24.434, -24.272]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(40.35, 41.725]","(18.56, 18.98]","(180.85, 183.8]","(3420.0, 3600.0]",MALE,"(8.829, 8.948]","(-25.403, -25.242]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(40.35, 41.725]","(17.72, 18.14]","(186.75, 189.7]","(3060.0, 3240.0]",FEMALE,"(7.991, 8.111]","(-25.565, -25.403]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(37.6, 38.975]","(18.56, 18.98]","(172.0, 174.95]","(3060.0, 3240.0]",FEMALE,"(8.35, 8.47]","(-25.242, -25.08]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(40.35, 41.725]","(18.56, 18.98]","(177.9, 180.85]","(3780.0, 3960.0]",MALE,"(8.829, 8.948]","(-25.242, -25.08]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(38.975, 40.35]","(16.46, 16.88]","(177.9, 180.85]","(3240.0, 3420.0]",FEMALE,"(9.666, 9.786]","(-25.242, -25.08]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(36.225, 37.6]","(17.72, 18.14]","(177.9, 180.85]","(3780.0, 3960.0]",MALE,"(9.666, 9.786]","(-25.08, -24.918]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(38.975, 40.35]","(17.72, 18.14]","(186.75, 189.7]","(3240.0, 3420.0]",FEMALE,"(9.547, 9.666]","(-25.08, -24.918]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(40.35, 41.725]","(18.56, 18.98]","(183.8, 186.75]","(3780.0, 3960.0]",MALE,"(8.709, 8.829]","(-25.242, -25.08]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(36.225, 37.6]","(16.88, 17.3]","(192.65, 195.6]","(3240.0, 3420.0]",FEMALE,"(9.068, 9.188]","(-25.242, -25.08]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(38.975, 40.35]","(21.08, 21.5]","(195.6, 198.55]","(4140.0, 4320.0]",MALE,"(9.068, 9.188]","(-25.08, -24.918]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(37.6, 38.975]","(19.82, 20.24]","(189.7, 192.65]","(3780.0, 3960.0]",MALE,"(9.188, 9.307]","(-25.242, -25.08]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(41.725, 43.1]","(18.14, 18.56]","(177.9, 180.85]","(3420.0, 3600.0]",FEMALE,"(7.991, 8.111]","(-25.565, -25.403]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(36.225, 37.6]","(18.98, 19.4]","(180.85, 183.8]","(3240.0, 3420.0]",FEMALE,"(9.307, 9.427]","(-25.08, -24.918]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(38.975, 40.35]","(18.98, 19.4]","(183.8, 186.75]","(4500.0, 4680.0]",MALE,"(8.589, 8.709]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(36.225, 37.6]","(17.72, 18.14]","(180.85, 183.8]","(3060.0, 3240.0]",FEMALE,"(9.666, 9.786]","(-24.434, -24.272]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(40.35, 41.725]","(18.14, 18.56]","(192.65, 195.6]","(3780.0, 3960.0]",MALE,"(8.589, 8.709]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(34.85, 36.225]","(18.14, 18.56]","(183.8, 186.75]","(3060.0, 3240.0]",FEMALE,"(9.427, 9.547]","(-25.08, -24.918]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(43.1, 44.475]","(19.4, 19.82]","(195.6, 198.55]","(4320.0, 4500.0]",MALE,"(9.188, 9.307]","(-24.595, -24.434]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(36.225, 37.6]","(16.88, 17.3]","(183.8, 186.75]","(2880.0, 3060.0]",FEMALE,"(9.307, 9.427]","(-25.08, -24.918]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(38.975, 40.35]","(18.56, 18.98]","(189.7, 192.65]","(4500.0, 4680.0]",MALE,"(9.427, 9.547]","(-24.111, -23.949]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(40.35, 41.725]","(18.98, 19.4]","(180.85, 183.8]","(3420.0, 3600.0]",MALE,"(8.589, 8.709]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(34.85, 36.225]","(17.72, 18.14]","(189.7, 192.65]","(3420.0, 3600.0]",FEMALE,"(9.427, 9.547]","(-25.08, -24.918]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(41.725, 43.1]","(21.08, 21.5]","(189.7, 192.65]","(4140.0, 4320.0]",MALE,"(8.829, 8.948]","(-25.242, -25.08]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(38.975, 40.35]","(17.3, 17.72]","(183.8, 186.75]","(3420.0, 3600.0]",FEMALE,"(8.35, 8.47]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(38.975, 40.35]","(18.56, 18.98]","(186.75, 189.7]","(4140.0, 4320.0]",MALE,"(8.47, 8.589]","(-26.695, -26.534]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(34.85, 36.225]","(17.72, 18.14]","(189.7, 192.65]","(3420.0, 3600.0]",FEMALE,"(8.111, 8.231]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(41.725, 43.1]","(19.4, 19.82]","(198.55, 201.5]","(3960.0, 4140.0]",MALE,"(8.47, 8.589]","(-26.372, -26.211]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(33.475, 34.85]","(17.72, 18.14]","(186.75, 189.7]","(2880.0, 3060.0]",FEMALE,"(8.35, 8.47]","(-26.695, -26.534]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(40.35, 41.725]","(18.56, 18.98]","(189.7, 192.65]","(3600.0, 3780.0]",MALE,"(8.35, 8.47]","(-26.372, -26.211]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(38.975, 40.35]","(17.3, 17.72]","(183.8, 186.75]","(3420.0, 3600.0]",FEMALE,"(8.47, 8.589]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(40.35, 41.725]","(18.56, 18.98]","(192.65, 195.6]","(3780.0, 3960.0]",MALE,"(8.47, 8.589]","(-26.049, -25.888]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(36.225, 37.6]","(16.46, 16.88]","(180.85, 183.8]","(2700.0, 2880.0]",FEMALE,"(9.068, 9.188]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(36.225, 37.6]","(18.98, 19.4]","(192.65, 195.6]","(3600.0, 3780.0]",MALE,"(9.068, 9.188]","(-26.049, -25.888]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(34.85, 36.225]","(16.88, 17.3]","(183.8, 186.75]","(3060.0, 3240.0]",FEMALE,"(8.948, 9.068]","(-26.534, -26.372]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(40.35, 41.725]","(21.08, 21.5]","(192.65, 195.6]","(4320.0, 4500.0]",MALE,"(8.709, 8.829]","(-26.534, -26.372]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(36.225, 37.6]","(16.88, 17.3]","(183.8, 186.75]","(3420.0, 3600.0]",FEMALE,"(8.47, 8.589]","(-26.372, -26.211]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(40.35, 41.725]","(18.14, 18.56]","(189.7, 192.65]","(3960.0, 4140.0]",MALE,"(8.589, 8.709]","(-26.695, -26.534]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(36.225, 37.6]","(16.88, 17.3]","(183.8, 186.75]","(2700.0, 2880.0]",FEMALE,"(8.589, 8.709]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(40.35, 41.725]","(17.72, 18.14]","(189.7, 192.65]","(3780.0, 3960.0]",MALE,"(8.829, 8.948]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(34.85, 36.225]","(16.04, 16.46]","(192.65, 195.6]","(3240.0, 3420.0]",FEMALE,"(8.47, 8.589]","(-26.049, -25.888]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(40.35, 41.725]","(18.98, 19.4]","(186.75, 189.7]","(3960.0, 4140.0]",MALE,"(8.709, 8.829]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(34.85, 36.225]","(16.46, 16.88]","(189.7, 192.65]","(2880.0, 3060.0]",FEMALE,"(8.47, 8.589]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(41.725, 43.1]","(18.98, 19.4]","(195.6, 198.55]","(4320.0, 4500.0]",MALE,"(8.829, 8.948]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(33.475, 34.85]","(18.98, 19.4]","(189.7, 192.65]","(3420.0, 3600.0]",FEMALE,"(7.872, 7.991]","(-26.695, -26.534]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(38.975, 40.35]","(18.14, 18.56]","(189.7, 192.65]","(3780.0, 3960.0]",MALE,"(9.188, 9.307]","(-25.242, -25.08]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(38.975, 40.35]","(16.88, 17.3]","(195.6, 198.55]","(3420.0, 3600.0]",FEMALE,"(8.231, 8.35]","(-26.695, -26.534]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(44.475, 45.85]","(18.56, 18.98]","(195.6, 198.55]","(4140.0, 4320.0]",MALE,"(8.111, 8.231]","(-26.534, -26.372]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(34.85, 36.225]","(17.3, 17.72]","(189.7, 192.65]","(3600.0, 3780.0]",FEMALE,"(8.589, 8.709]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(41.725, 43.1]","(18.14, 18.56]","(192.65, 195.6]","(4140.0, 4320.0]",MALE,"(8.231, 8.35]","(-26.534, -26.372]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(40.35, 41.725]","(16.46, 16.88]","(189.7, 192.65]","(3600.0, 3780.0]",FEMALE,"(8.47, 8.589]","(-26.049, -25.888]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(36.225, 37.6]","(18.98, 19.4]","(183.8, 186.75]","(3780.0, 3960.0]",MALE,"(8.35, 8.47]","(-26.534, -26.372]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(34.85, 36.225]","(16.04, 16.46]","(186.75, 189.7]","(3420.0, 3600.0]",FEMALE,"(7.752, 7.872]","(-26.534, -26.372]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(41.725, 43.1]","(18.98, 19.4]","(192.65, 195.6]","(3960.0, 4140.0]",MALE,"(8.948, 9.068]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(33.475, 34.85]","(16.88, 17.3]","(186.75, 189.7]","(3060.0, 3240.0]",FEMALE,"(7.632, 7.752]","(-26.695, -26.534]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(41.725, 43.1]","(17.3, 17.72]","(195.6, 198.55]","(4680.0, 4860.0]",MALE,"(8.589, 8.709]","(-26.372, -26.211]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(36.225, 37.6]","(18.56, 18.98]","(186.75, 189.7]","(3780.0, 3960.0]",FEMALE,"(7.872, 7.991]","(-26.372, -26.211]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(34.85, 36.225]","(18.98, 19.4]","(192.65, 195.6]","(4140.0, 4320.0]",MALE,"(8.829, 8.948]","(-26.534, -26.372]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(36.225, 37.6]","(17.72, 18.14]","(189.7, 192.65]","(3240.0, 3420.0]",FEMALE,"(8.231, 8.35]","(-26.534, -26.372]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(40.35, 41.725]","(20.24, 20.66]","(192.65, 195.6]","(3420.0, 3600.0]",MALE,"(9.068, 9.188]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(36.225, 37.6]","(19.4, 19.82]","(189.7, 192.65]","(3780.0, 3960.0]",MALE,"(8.47, 8.589]","(-26.372, -26.211]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(36.225, 37.6]","(18.56, 18.98]","(186.75, 189.7]","(3420.0, 3600.0]",FEMALE,"(8.589, 8.709]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(37.6, 38.975]","(18.98, 19.4]","(186.75, 189.7]","(3780.0, 3960.0]",MALE,"(9.068, 9.188]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(37.6, 38.975]","(18.56, 18.98]","(189.7, 192.65]","(3420.0, 3600.0]",FEMALE,"(8.35, 8.47]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(34.85, 36.225]","(17.72, 18.14]","(201.5, 204.45]","(3420.0, 3600.0]",FEMALE,"(8.35, 8.47]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(40.35, 41.725]","(17.72, 18.14]","(204.45, 207.4]","(4140.0, 4320.0]",MALE,"(8.709, 8.829]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(33.475, 34.85]","(16.88, 17.3]","(183.8, 186.75]","(3240.0, 3420.0]",FEMALE,"(7.991, 8.111]","(-26.695, -26.534]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(38.975, 40.35]","(17.72, 18.14]","(183.8, 186.75]","(4320.0, 4500.0]",MALE,"(8.47, 8.589]","(-26.534, -26.372]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(34.85, 36.225]","(16.88, 17.3]","(186.75, 189.7]","(3240.0, 3420.0]",FEMALE,"(8.829, 8.948]","(-26.372, -26.211]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(40.35, 41.725]","(18.56, 18.98]","(207.4, 210.35]","(4140.0, 4320.0]",MALE,"(8.47, 8.589]","(-26.695, -26.534]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(37.6, 38.975]","(18.56, 18.98]","(189.7, 192.65]","(3600.0, 3780.0]",FEMALE,"(7.991, 8.111]","(-26.534, -26.372]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(38.975, 40.35]","(18.14, 18.56]","(195.6, 198.55]","(4320.0, 4500.0]",MALE,"(8.35, 8.47]","(-26.049, -25.888]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(32.1, 33.475]","(16.04, 16.46]","(177.9, 180.85]","(2880.0, 3060.0]",FEMALE,"(8.948, 9.068]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(43.1, 44.475]","(18.14, 18.56]","(189.7, 192.65]","(3960.0, 4140.0]",MALE,"(8.948, 9.068]","(-26.049, -25.888]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(34.85, 36.225]","(17.72, 18.14]","(189.7, 192.65]","(3600.0, 3780.0]",FEMALE,"(8.829, 8.948]","(-26.372, -26.211]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(40.35, 41.725]","(19.82, 20.24]","(201.5, 204.45]","(4680.0, 4860.0]",MALE,"(8.948, 9.068]","(-26.534, -26.372]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(37.6, 38.975]","(15.62, 16.04]","(180.85, 183.8]","(3060.0, 3240.0]",FEMALE,"(9.188, 9.307]","(-26.372, -26.211]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(37.6, 38.975]","(19.82, 20.24]","(189.7, 192.65]","(4140.0, 4320.0]",MALE,"(9.427, 9.547]","(-25.726, -25.565]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(37.6, 38.975]","(18.56, 18.98]","(192.65, 195.6]","(2880.0, 3060.0]",FEMALE,"(8.948, 9.068]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(38.975, 40.35]","(18.56, 18.98]","(183.8, 186.75]","(3420.0, 3600.0]",MALE,"(8.829, 8.948]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(37.6, 38.975]","(16.88, 17.3]","(198.55, 201.5]","(3600.0, 3780.0]",FEMALE,"(8.709, 8.829]","(-26.534, -26.372]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(37.6, 38.975]","(19.82, 20.24]","(189.7, 192.65]","(3780.0, 3960.0]",MALE,"(9.547, 9.666]","(-25.726, -25.565]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(37.6, 38.975]","(16.88, 17.3]","(180.85, 183.8]","(3060.0, 3240.0]",FEMALE,"(9.786, 9.906]","(-25.403, -25.242]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(43.1, 44.475]","(18.98, 19.4]","(195.6, 198.55]","(4680.0, 4860.0]",MALE,"(9.307, 9.427]","(-25.565, -25.403]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(37.6, 38.975]","(16.46, 16.88]","(195.6, 198.55]","(3780.0, 3960.0]",FEMALE,"(8.35, 8.47]","(-26.695, -26.534]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(44.475, 45.85]","(20.24, 20.66]","(189.7, 192.65]","(4500.0, 4680.0]",MALE,"(8.589, 8.709]","(-26.372, -26.211]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(38.975, 40.35]","(17.3, 17.72]","(192.65, 195.6]","(3060.0, 3240.0]",FEMALE,"(8.948, 9.068]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(41.725, 43.1]","(19.4, 19.82]","(195.6, 198.55]","(4140.0, 4320.0]",MALE,"(8.709, 8.829]","(-26.534, -26.372]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(38.975, 40.35]","(20.66, 21.08]","(189.7, 192.65]","(3780.0, 3960.0]",FEMALE,"(8.709, 8.829]","(-26.857, -26.695]"
Adelie Penguin (Pygoscelis adeliae),Biscoe,"(41.725, 43.1]","(18.14, 18.56]","(195.6, 198.55]","(3960.0, 4140.0]",MALE,"(8.829, 8.948]","(-26.534, -26.372]"
