Species,Island,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(37.6, 38.975]","(16.88, 17.3]","(186.75, 189.7]","(2880.0, 3060.0]",FEMALE,"(9.068, 9.188]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(36.225, 37.6]","(20.24, 20.66]","(198.55, 201.5]","(3600.0, 3780.0]",MALE,"(9.427, 9.547]","(-26.372, -26.211]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(34.85, 36.225]","(16.88, 17.3]","(186.75, 189.7]","(3240.0, 3420.0]",FEMALE,"(8.948, 9.068]","(-23.949, -23.788]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(40.35, 41.725]","(18.56, 18.98]","(186.75, 189.7]","(3240.0, 3420.0]",MALE,"(9.307, 9.427]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(34.85, 36.225]","(16.88, 17.3]","(186.75, 189.7]","(3060.0, 3240.0]",FEMALE,"(8.948, 9.068]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(37.6, 38.975]","(19.4, 19.82]","(195.6, 198.55]","(3420.0, 3600.0]",MALE,"(9.068, 9.188]","(-26.534, -26.372]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(38.975, 40.35]","(16.88, 17.3]","(174.95, 177.9]","(3420.0, 3600.0]",FEMALE,"(9.188, 9.307]","(-25.726, -25.565]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(40.35, 41.725]","(18.14, 18.56]","(201.5, 204.45]","(3780.0, 3960.0]",MALE,"(9.547, 9.666]","(-25.565, -25.403]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(34.85, 36.225]","(15.62, 16.04]","(183.8, 186.75]","(2880.0, 3060.0]",FEMALE,"(8.709, 8.829]","(-26.049, -25.888]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(40.35, 41.725]","(18.98, 19.4]","(198.55, 201.5]","(3960.0, 4140.0]",MALE,"(9.188, 9.307]","(-25.726, -25.565]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(37.6, 38.975]","(17.3, 17.72]","(189.7, 192.65]","(3240.0, 3420.0]",FEMALE,"(8.829, 8.948]","(-26.049, -25.888]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(40.35, 41.725]","(18.14, 18.56]","(192.65, 195.6]","(4140.0, 4320.0]",MALE,"(8.47, 8.589]","(-26.049, -25.888]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(38.975, 40.35]","(16.88, 17.3]","(189.7, 192.65]","(2880.0, 3060.0]",FEMALE,"(9.188, 9.307]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(43.1, 44.475]","(17.72, 18.14]","(207.4, 210.35]","(3960.0, 4140.0]",MALE,"(9.068, 9.188]","(-26.049, -25.888]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(37.6, 38.975]","(17.72, 18.14]","(189.7, 192.65]","(3240.0, 3420.0]",FEMALE,"(8.948, 9.068]","(-25.726, -25.565]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(41.725, 43.1]","(18.98, 19.4]","(195.6, 198.55]","(3420.0, 3600.0]",MALE,"(8.829, 8.948]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(36.225, 37.6]","(18.14, 18.56]","(192.65, 195.6]","(3420.0, 3600.0]",FEMALE,"(8.948, 9.068]","(-25.726, -25.565]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(36.225, 37.6]","(18.14, 18.56]","(198.55, 201.5]","(4320.0, 4500.0]",MALE,"(8.47, 8.589]","(-26.534, -26.372]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(37.6, 38.975]","(17.3, 17.72]","(186.75, 189.7]","(3420.0, 3600.0]",FEMALE,"(8.709, 8.829]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(40.35, 41.725]","(17.3, 17.72]","(189.7, 192.65]","(3780.0, 3960.0]",MALE,"(8.829, 8.948]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(34.85, 36.225]","(17.3, 17.72]","(189.7, 192.65]","(3060.0, 3240.0]",FEMALE,"(8.709, 8.829]","(-26.049, -25.888]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(38.975, 40.35]","(19.82, 20.24]","(198.55, 201.5]","(3960.0, 4140.0]",MALE,"(8.948, 9.068]","(-26.372, -26.211]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(36.225, 37.6]","(16.46, 16.88]","(183.8, 186.75]","(3240.0, 3420.0]",FEMALE,"(8.589, 8.709]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(38.975, 40.35]","(17.72, 18.14]","(192.65, 195.6]","(4140.0, 4320.0]",MALE,"(9.188, 9.307]","(-26.049, -25.888]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(38.975, 40.35]","(16.88, 17.3]","(192.65, 195.6]","(3240.0, 3420.0]",FEMALE,"(9.188, 9.307]","(-25.565, -25.403]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(40.35, 41.725]","(16.88, 17.3]","(186.75, 189.7]","(3420.0, 3600.0]",MALE,"(9.188, 9.307]","(-26.049, -25.888]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(32.1, 33.475]","(15.2, 15.62]","(186.75, 189.7]","(2880.0, 3060.0]",FEMALE,"(8.709, 8.829]","(-26.695, -26.534]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(40.35, 41.725]","(16.88, 17.3]","(189.7, 192.65]","(3600.0, 3780.0]",MALE,"(8.948, 9.068]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(36.225, 37.6]","(16.46, 16.88]","(189.7, 192.65]","(2880.0, 3060.0]",FEMALE,"(9.068, 9.188]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(38.975, 40.35]","(18.56, 18.98]","(183.8, 186.75]","(3600.0, 3780.0]",MALE,"(9.188, 9.307]","(-26.049, -25.888]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(38.975, 40.35]","(18.56, 18.98]","(189.7, 192.65]","(4140.0, 4320.0]",MALE,"(9.068, 9.188]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(36.225, 37.6]","(18.14, 18.56]","(183.8, 186.75]","(3420.0, 3600.0]",FEMALE,"(8.589, 8.709]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(34.85, 36.225]","(17.72, 18.14]","(192.65, 195.6]","(3420.0, 3600.0]",FEMALE,"(8.829, 8.948]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(37.6, 38.975]","(17.72, 18.14]","(192.65, 195.6]","(3600.0, 3780.0]",MALE,"(8.948, 9.068]","(-26.049, -25.888]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(34.85, 36.225]","(16.88, 17.3]","(186.75, 189.7]","(3600.0, 3780.0]",FEMALE,"(8.829, 8.948]","(-26.211, -26.049]"
Adelie Penguin (Pygoscelis adeliae),Dream,"(40.35, 41.725]","(18.14, 18.56]","(198.55, 201.5]","(3960.0, 4140.0]",MALE,"(8.829, 8.948]","(-26.211, -26.049]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(45.85, 47.225]","(17.72, 18.14]","(189.7, 192.65]","(3420.0, 3600.0]",FEMALE,"(8.948, 9.068]","(-24.434, -24.272]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(49.975, 51.35]","(19.4, 19.82]","(195.6, 198.55]","(3780.0, 3960.0]",MALE,"(8.829, 8.948]","(-24.272, -24.111]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(49.975, 51.35]","(18.98, 19.4]","(192.65, 195.6]","(3600.0, 3780.0]",MALE,"(9.188, 9.307]","(-24.757, -24.595]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(44.475, 45.85]","(18.56, 18.98]","(186.75, 189.7]","(3420.0, 3600.0]",FEMALE,"(8.589, 8.709]","(-24.757, -24.595]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(51.35, 52.725]","(19.4, 19.82]","(195.6, 198.55]","(3600.0, 3780.0]",MALE,"(8.948, 9.068]","(-24.757, -24.595]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(44.475, 45.85]","(17.72, 18.14]","(195.6, 198.55]","(3780.0, 3960.0]",FEMALE,"(8.829, 8.948]","(-24.595, -24.434]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(45.85, 47.225]","(18.14, 18.56]","(177.9, 180.85]","(3240.0, 3420.0]",FEMALE,"(8.829, 8.948]","(-24.595, -24.434]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(49.975, 51.35]","(18.14, 18.56]","(195.6, 198.55]","(3600.0, 3780.0]",MALE,"(8.589, 8.709]","(-24.918, -24.757]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(45.85, 47.225]","(18.56, 18.98]","(192.65, 195.6]","(4140.0, 4320.0]",FEMALE,"(8.47, 8.589]","(-24.434, -24.272]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(49.975, 51.35]","(19.82, 20.24]","(195.6, 198.55]","(3600.0, 3780.0]",MALE,"(8.709, 8.829]","(-24.434, -24.272]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(45.85, 47.225]","(17.72, 18.14]","(192.65, 195.6]","(3780.0, 3960.0]",FEMALE,"(8.948, 9.068]","(-24.757, -24.595]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(51.35, 52.725]","(20.24, 20.66]","(192.65, 195.6]","(3600.0, 3780.0]",MALE,"(8.589, 8.709]","(-24.434, -24.272]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(45.85, 47.225]","(16.88, 17.3]","(183.8, 186.75]","(3600.0, 3780.0]",FEMALE,"(8.709, 8.829]","(-24.918, -24.757]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(51.35, 52.725]","(17.72, 18.14]","(198.55, 201.5]","(3960.0, 4140.0]",MALE,"(8.948, 9.068]","(-24.434, -24.272]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(45.85, 47.225]","(16.88, 17.3]","(189.7, 192.65]","(3420.0, 3600.0]",FEMALE,"(9.068, 9.188]","(-24.918, -24.757]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(49.975, 51.35]","(19.4, 19.82]","(198.55, 201.5]","(3960.0, 4140.0]",MALE,"(9.786, 9.906]","(-24.757, -24.595]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(49.975, 51.35]","(19.82, 20.24]","(195.6, 198.55]","(3240.0, 3420.0]",MALE,"(9.906, 10.025]","(-24.595, -24.434]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(56.85, 58.225]","(17.72, 18.14]","(180.85, 183.8]","(3600.0, 3780.0]",FEMALE,"(9.068, 9.188]","(-24.595, -24.434]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(45.85, 47.225]","(18.56, 18.98]","(189.7, 192.65]","(3420.0, 3600.0]",FEMALE,"(9.307, 9.427]","(-24.757, -24.595]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(48.6, 49.975]","(18.14, 18.56]","(192.65, 195.6]","(4320.0, 4500.0]",MALE,"(9.188, 9.307]","(-24.757, -24.595]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(41.725, 43.1]","(16.88, 17.3]","(180.85, 183.8]","(3420.0, 3600.0]",FEMALE,"(9.307, 9.427]","(-24.757, -24.595]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(47.225, 48.6]","(17.3, 17.72]","(189.7, 192.65]","(3240.0, 3420.0]",MALE,"(9.307, 9.427]","(-24.272, -24.111]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(43.1, 44.475]","(16.46, 16.88]","(186.75, 189.7]","(2880.0, 3060.0]",FEMALE,"(9.307, 9.427]","(-25.08, -24.918]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(49.975, 51.35]","(18.98, 19.4]","(192.65, 195.6]","(3780.0, 3960.0]",MALE,"(9.188, 9.307]","(-25.08, -24.918]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(45.85, 47.225]","(17.72, 18.14]","(192.65, 195.6]","(3240.0, 3420.0]",FEMALE,"(9.666, 9.786]","(-24.595, -24.434]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(51.35, 52.725]","(18.98, 19.4]","(195.6, 198.55]","(4140.0, 4320.0]",MALE,"(9.307, 9.427]","(-24.595, -24.434]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(49.975, 51.35]","(18.14, 18.56]","(198.55, 201.5]","(3240.0, 3420.0]",FEMALE,"(8.829, 8.948]","(-23.949, -23.788]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(48.6, 49.975]","(18.98, 19.4]","(198.55, 201.5]","(3780.0, 3960.0]",MALE,"(9.547, 9.666]","(-24.434, -24.272]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(45.85, 47.225]","(17.72, 18.14]","(189.7, 192.65]","(3600.0, 3780.0]",FEMALE,"(9.307, 9.427]","(-24.595, -24.434]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(52.725, 54.1]","(19.82, 20.24]","(204.45, 207.4]","(4500.0, 4680.0]",MALE,"(9.188, 9.307]","(-24.757, -24.595]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(40.35, 41.725]","(16.46, 16.88]","(186.75, 189.7]","(3060.0, 3240.0]",FEMALE,"(9.068, 9.188]","(-24.595, -24.434]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(54.1, 55.475]","(20.66, 21.08]","(198.55, 201.5]","(4140.0, 4320.0]",MALE,"(9.427, 9.547]","(-24.757, -24.595]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(41.725, 43.1]","(16.46, 16.88]","(186.75, 189.7]","(3240.0, 3420.0]",FEMALE,"(9.307, 9.427]","(-24.595, -24.434]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(49.975, 51.35]","(18.56, 18.98]","(201.5, 204.45]","(3960.0, 4140.0]",MALE,"(9.188, 9.307]","(-24.272, -24.111]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(48.6, 49.975]","(18.56, 18.98]","(192.65, 195.6]","(3420.0, 3600.0]",MALE,"(9.666, 9.786]","(-24.434, -24.272]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(47.225, 48.6]","(16.46, 16.88]","(198.55, 201.5]","(3780.0, 3960.0]",FEMALE,"(9.068, 9.188]","(-25.242, -25.08]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(47.225, 48.6]","(18.14, 18.56]","(192.65, 195.6]","(3780.0, 3960.0]",FEMALE,"(8.829, 8.948]","(-24.757, -24.595]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(51.35, 52.725]","(20.66, 21.08]","(207.4, 210.35]","(4680.0, 4860.0]",MALE,"(9.427, 9.547]","(-24.757, -24.595]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(45.85, 47.225]","(16.46, 16.88]","(189.7, 192.65]","(2700.0, 2880.0]",FEMALE,"(9.786, 9.906]","(-24.757, -24.595]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(52.725, 54.1]","(19.82, 20.24]","(204.45, 207.4]","(4320.0, 4500.0]",MALE,"(9.906, 10.025]","(-24.918, -24.757]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(48.6, 49.975]","(19.4, 19.82]","(207.4, 210.35]","(3780.0, 3960.0]",MALE,"(9.427, 9.547]","(-24.757, -24.595]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(45.85, 47.225]","(17.3, 17.72]","(186.75, 189.7]","(3600.0, 3780.0]",FEMALE,"(9.547, 9.666]","(-24.757, -24.595]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(49.975, 51.35]","(18.98, 19.4]","(195.6, 198.55]","(3420.0, 3600.0]",MALE,"(9.906, 10.025]","(-24.918, -24.757]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(44.475, 45.85]","(16.88, 17.3]","(195.6, 198.55]","(3420.0, 3600.0]",FEMALE,"(9.307, 9.427]","(-24.757, -24.595]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(49.975, 51.35]","(17.72, 18.14]","(195.6, 198.55]","(3600.0, 3780.0]",FEMALE,"(9.427, 9.547]","(-24.272, -24.111]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(49.975, 51.35]","(18.14, 18.56]","(198.55, 201.5]","(4320.0, 4500.0]",MALE,"(9.427, 9.547]","(-24.434, -24.272]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(49.975, 51.35]","(17.72, 18.14]","(189.7, 192.65]","(3240.0, 3420.0]",FEMALE,"(9.427, 9.547]","(-24.595, -24.434]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(48.6, 49.975]","(19.4, 19.82]","(210.35, 213.3]","(4140.0, 4320.0]",MALE,"(9.307, 9.427]","(-24.595, -24.434]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(51.35, 52.725]","(18.56, 18.98]","(186.75, 189.7]","(3240.0, 3420.0]",MALE,"(9.666, 9.786]","(-24.434, -24.272]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(48.6, 49.975]","(16.88, 17.3]","(195.6, 198.55]","(3600.0, 3780.0]",FEMALE,"(9.307, 9.427]","(-24.434, -24.272]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(47.225, 48.6]","(16.04, 16.46]","(198.55, 201.5]","(3240.0, 3420.0]",FEMALE,"(9.427, 9.547]","(-24.595, -24.434]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(51.35, 52.725]","(18.98, 19.4]","(198.55, 201.5]","(3780.0, 3960.0]",MALE,"(9.427, 9.547]","(-24.434, -24.272]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(44.475, 45.85]","(16.88, 17.3]","(192.65, 195.6]","(3420.0, 3600.0]",FEMALE,"(9.307, 9.427]","(-24.918, -24.757]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(49.975, 51.35]","(19.4, 19.82]","(201.5, 204.45]","(3960.0, 4140.0]",MALE,"(9.906, 10.025]","(-24.595, -24.434]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(41.725, 43.1]","(16.88, 17.3]","(186.75, 189.7]","(3240.0, 3420.0]",FEMALE,"(9.547, 9.666]","(-24.757, -24.595]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(51.35, 52.725]","(18.56, 18.98]","(195.6, 198.55]","(3420.0, 3600.0]",MALE,"(9.666, 9.786]","(-24.595, -24.434]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(44.475, 45.85]","(16.46, 16.88]","(189.7, 192.65]","(3240.0, 3420.0]",FEMALE,"(9.547, 9.666]","(-24.918, -24.757]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(48.6, 49.975]","(19.82, 20.24]","(201.5, 204.45]","(3960.0, 4140.0]",MALE,"(9.786, 9.906]","(-24.595, -24.434]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(49.975, 51.35]","(18.56, 18.98]","(201.5, 204.45]","(3780.0, 3960.0]",MALE,"(9.666, 9.786]","(-24.434, -24.272]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(44.475, 45.85]","(18.98, 19.4]","(192.65, 195.6]","(3420.0, 3600.0]",FEMALE,"(9.427, 9.547]","(-24.757, -24.595]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(51.35, 52.725]","(19.4, 19.82]","(204.45, 207.4]","(3780.0, 3960.0]",MALE,"(8.589, 8.709]","(-23.949, -23.788]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(45.85, 47.225]","(16.46, 16.88]","(186.75, 189.7]","(3600.0, 3780.0]",FEMALE,"(9.547, 9.666]","(-24.595, -24.434]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(44.475, 45.85]","(16.88, 17.3]","(192.65, 195.6]","(3600.0, 3780.0]",FEMALE,"(9.188, 9.307]","(-24.434, -24.272]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(55.475, 56.85]","(19.4, 19.82]","(204.45, 207.4]","(3960.0, 4140.0]",MALE,"(9.666, 9.786]","(-24.595, -24.434]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(43.1, 44.475]","(17.72, 18.14]","(201.5, 204.45]","(3240.0, 3420.0]",FEMALE,"(9.307, 9.427]","(-24.434, -24.272]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(48.6, 49.975]","(18.14, 18.56]","(192.65, 195.6]","(3600.0, 3780.0]",MALE,"(9.427, 9.547]","(-24.757, -24.595]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(49.975, 51.35]","(18.98, 19.4]","(207.4, 210.35]","(3960.0, 4140.0]",MALE,"(9.906, 10.025]","(-24.757, -24.595]"
Chinstrap penguin (Pygoscelis antarctica),Dream,"(49.975, 51.35]","(18.56, 18.98]","(195.6, 198.55]","(3600.0, 3780.0]",FEMALE,"(9.307, 9.427]","(-24.272, -24.111]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(45.85, 47.225]","(13.1, 13.52]","(210.35, 213.3]","(4320.0, 4500.0]",FEMALE,"(7.991, 8.111]","(-25.565, -25.403]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(49.975, 51.35]","(16.04, 16.46]","(228.05, 231.0]","(5580.0, 5760.0]",MALE,"(8.111, 8.231]","(-25.403, -25.242]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(48.6, 49.975]","(13.94, 14.36]","(207.4, 210.35]","(4320.0, 4500.0]",FEMALE,"(8.111, 8.231]","(-25.565, -25.403]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(49.975, 51.35]","(14.78, 15.2]","(216.25, 219.2]","(5580.0, 5760.0]",MALE,"(8.231, 8.35]","(-25.403, -25.242]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(47.225, 48.6]","(14.36, 14.78]","(213.3, 216.25]","(5220.0, 5400.0]",MALE,"(8.231, 8.35]","(-25.565, -25.403]"
