Species (num),Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex (num),Delta 15 N (norm.),Delta 13 C (norm.)
2.0,49.2,18.2,195.0,4400.0,0.0,0.6850044291420837,0.7351549273105998
2.0,42.4,17.3,181.0,3600.0,1.0,0.7183483478464345,0.7213660716772883
2.0,48.5,17.5,191.0,3400.0,0.0,0.7498036135113906,0.8526465007877126
2.0,43.2,16.6,187.0,2900.0,1.0,0.7195099530343804,0.6210989609609797
2.0,50.6,19.4,193.0,3800.0,0.0,0.6891619728903078,0.6336373794055465
2.0,46.7,17.9,195.0,3300.0,1.0,0.8813324196486776,0.750222076406664
2.0,52.0,19.0,197.0,4150.0,0.0,0.7252887299226157,0.7883696960880509
2.0,50.5,18.4,200.0,3400.0,1.0,0.5464140662867075,0.9682747990479337
2.0,49.5,19.0,200.0,3800.0,0.0,0.8350771339272283,0.8269289695964241
2.0,46.4,17.8,191.0,3700.0,1.0,0.7276704384014976,0.770560251573105
2.0,52.8,20.0,205.0,4550.0,0.0,0.6767269475689862,0.7187413916375459
2.0,40.9,16.6,187.0,3200.0,1.0,0.6068676772910369,0.7643483024696137
2.0,54.2,20.8,201.0,4300.0,0.0,0.777452324046063,0.7485847465233822
2.0,42.5,16.7,187.0,3350.0,1.0,0.7247413548160656,0.7943959366981647
2.0,51.0,18.8,203.0,4100.0,0.0,0.6684494659958888,0.8807906229591402
2.0,49.7,18.6,195.0,3600.0,0.0,0.8869398806638703,0.8377186330616833
2.0,47.5,16.8,199.0,3900.0,1.0,0.6042227273486992,0.5797323940610428
2.0,47.6,18.3,195.0,3850.0,1.0,0.5025906302752754,0.7304379315788004
2.0,52.0,20.7,210.0,4800.0,0.0,0.7518092627567647,0.7224493712219926
2.0,46.9,16.6,192.0,2700.0,1.0,0.9082624392037573,0.7060605966813893
2.0,53.5,19.9,205.0,4500.0,0.0,1.0,0.6531924837582449
2.0,49.0,19.5,210.0,3950.0,0.0,0.7940783206030319,0.7273180288900515
2.0,46.2,17.5,187.0,3650.0,1.0,0.8294780297838916,0.7294196300067781
2.0,50.9,19.1,196.0,3550.0,0.0,0.999281309020408,0.6662601714089398
2.0,45.5,17.0,196.0,3500.0,1.0,0.724010128528689,0.7291998749562805
2.0,50.9,17.9,196.0,3675.0,1.0,0.7540572612859556,0.8830067443134512
2.0,50.8,18.5,201.0,4450.0,0.0,0.7630116494793673,0.8241711984697616
2.0,50.1,17.9,190.0,3400.0,1.0,0.7671566579198075,0.7927678922395514
2.0,49.0,19.6,212.0,4300.0,0.0,0.7139651685581053,0.7944145075475028
2.0,51.5,18.7,187.0,3250.0,0.0,0.8596296234393546,0.8009978736377502
2.0,49.8,17.3,198.0,3675.0,1.0,0.7059425715766077,0.805640585972199
2.0,48.1,16.4,199.0,3325.0,1.0,0.7676162858718729,0.784466722585557
2.0,51.4,19.0,201.0,3950.0,0.0,0.7544667480068863,0.8222305447139618
2.0,45.7,17.3,193.0,3600.0,1.0,0.7449315572195013,0.685121964053026
2.0,50.7,19.7,203.0,4050.0,0.0,0.9631587304240278,0.7514632281707403
2.0,42.5,17.3,187.0,3350.0,1.0,0.8077501629590016,0.7458424511045006
2.0,52.2,18.8,197.0,3450.0,0.0,0.8954722468285674,0.7594641690937729
2.0,45.2,16.6,191.0,3250.0,1.0,0.8320811953669507,0.6898141986523747
2.0,49.3,19.9,203.0,4050.0,0.0,0.9426091825307952,0.7500796998950742
2.0,50.2,18.8,202.0,3800.0,0.0,0.8827865153515739,0.8092371404606187
2.0,45.6,19.4,194.0,3525.0,1.0,0.7678502782838326,0.7306638769124105
2.0,51.9,19.5,206.0,3950.0,0.0,0.4262861225785964,1.0
2.0,46.8,16.5,189.0,3650.0,1.0,0.8433796861158933,0.7852405079746322
2.0,45.7,17.0,195.0,3650.0,1.0,0.6831533820260405,0.8355087019904848
2.0,55.8,19.8,207.0,4000.0,0.0,0.8659599538700679,0.7687093569224389
2.0,43.5,18.1,202.0,3400.0,1.0,0.728669084588257,0.8081445554912448
2.0,49.6,18.2,193.0,3775.0,0.0,0.7644866373619029,0.7157174383370418
2.0,50.8,19.0,210.0,4100.0,0.0,0.9811970383246144,0.7215177336135467
2.0,50.2,18.7,198.0,3775.0,1.0,0.7357598903578416,0.8561130593307683
3.0,46.1,13.2,211.0,4500.0,1.0,0.15075796827731455,0.46570737912698457
3.0,50.0,16.3,230.0,5700.0,0.0,0.21533987397837256,0.5029140757752558
3.0,48.7,14.1,210.0,4450.0,1.0,0.21512677374605144,0.4818578277677531
3.0,50.0,15.2,218.0,5700.0,0.0,0.26040012702445214,0.5007289058365089
3.0,47.6,14.5,215.0,5400.0,0.0,0.2516671959352178,0.45621767511537126
3.0,46.5,13.5,210.0,4550.0,1.0,0.15171900854072315,0.5231563015534518
3.0,45.4,14.6,211.0,4800.0,1.0,0.2561172301983924,0.4799697914184107
3.0,46.7,15.3,219.0,5200.0,0.0,0.24842055121926757,0.4924184507578449
3.0,43.3,13.4,209.0,4400.0,1.0,0.21068927479066066,0.5251774289897144
3.0,46.8,15.4,215.0,5150.0,0.0,0.2218331634102723,0.507098707159372
3.0,40.9,13.7,214.0,4650.0,1.0,0.23549247045845823,0.5030347862959512
3.0,49.0,16.1,216.0,5550.0,0.0,0.19720964048737272,0.46827015633559993
3.0,45.5,13.7,214.0,4650.0,1.0,0.06038675602948305,0.4957612036386489
3.0,48.4,14.6,213.0,5850.0,0.0,0.07880530159950533,0.4761225304639303
3.0,45.8,14.6,210.0,4200.0,1.0,0.06993866056057882,0.43095512973285793
3.0,49.3,15.7,217.0,5850.0,0.0,0.1835043706439805,0.462355340821512
3.0,42.0,13.5,210.0,4150.0,1.0,0.002774481456101344,0.46187868902184237
3.0,49.2,15.2,221.0,6300.0,0.0,0.26807173538800927,0.6242436247821793
3.0,46.2,14.5,209.0,4800.0,1.0,0.08706606942889118,0.5074639338630147
3.0,48.7,15.1,222.0,5350.0,0.0,0.13902074175594578,0.5022393349159828
3.0,50.2,14.3,218.0,5700.0,0.0,0.11031070849559604,0.5079374905211292
3.0,45.1,14.5,215.0,5000.0,1.0,0.0,0.4806290565699027
3.0,46.5,14.5,213.0,4400.0,1.0,0.11372031221273235,0.5026014664780692
3.0,46.3,15.8,215.0,5050.0,0.0,0.11595577543413929,0.5066653873414901
3.0,42.9,13.1,215.0,5000.0,1.0,0.022179137905099188,0.50349596238784
3.0,46.1,15.1,215.0,5100.0,0.0,0.08571225618826345,0.4922141714151292
3.0,47.8,15.0,215.0,5650.0,0.0,0.12175126606608624,0.4750144697867754
3.0,48.2,14.3,210.0,4600.0,1.0,0.023608162992428582,0.46749946608808207
3.0,50.0,15.3,220.0,5550.0,0.0,0.28118784576557276,0.5659063967290549
3.0,47.3,15.3,222.0,5250.0,0.0,0.4262861225785964,0.3667804647045534
3.0,42.8,14.2,209.0,4700.0,1.0,0.0009693971352643697,0.4813780808265262
3.0,45.1,14.5,207.0,5050.0,1.0,0.14285236750179664,0.4583471325061047
3.0,59.6,17.0,230.0,6050.0,0.0,0.05692283264528435,0.4136470981500345
3.0,49.1,14.8,220.0,5150.0,1.0,0.1108288345506508,0.11900509769814407
3.0,48.4,16.3,220.0,5400.0,0.0,0.16897177048687148,0.04867729125591569
3.0,42.6,13.7,213.0,4950.0,1.0,0.14087596730791743,0.09559654210785408
3.0,44.4,17.3,219.0,5250.0,0.0,0.21111965369123062,0.07044851696292388
3.0,44.0,13.6,208.0,4350.0,1.0,0.16195199812806085,0.10382033322294058
3.0,48.7,15.7,208.0,5350.0,0.0,0.21542344269692965,0.05369451571867678
3.0,42.7,13.7,208.0,3950.0,1.0,0.21455014958800658,0.13119376514684913
3.0,49.6,16.0,225.0,5700.0,0.0,0.31381725192625926,0.05441877884285083
3.0,45.3,13.7,210.0,4300.0,1.0,0.31085474085340414,0.08995409905072005
3.0,49.6,15.0,216.0,4750.0,0.0,0.26461199043973865,0.07695759965582073
3.0,50.5,15.9,222.0,5550.0,0.0,0.34962644782804897,0.1281945729787956
3.0,43.6,13.9,217.0,4900.0,1.0,0.26708980294496143,0.0749148062286637
3.0,45.5,13.9,210.0,4200.0,1.0,0.35353328542060114,0.12400994159467935
3.0,50.5,15.9,225.0,5400.0,0.0,0.4286364927880197,0.1370188215558045
3.0,44.9,13.3,213.0,5100.0,1.0,0.3424102889806288,0.03779167840241269
3.0,45.2,15.8,215.0,5300.0,0.0,0.38712373184469623,0.1054050456997651
3.0,46.6,14.2,210.0,4850.0,1.0,0.31367100666878367,0.04798088440574837
3.0,48.5,14.1,220.0,5300.0,0.0,0.320264578562952,0.06962830445050489
3.0,45.1,14.4,210.0,4400.0,1.0,0.3707567983152548,0.0
3.0,50.1,15.0,225.0,5000.0,0.0,0.3632439705169564,0.12516752453673535
3.0,46.5,14.4,217.0,4900.0,1.0,0.3575445839113504,0.058337228053125564
3.0,45.0,15.4,220.0,5050.0,0.0,0.418963413615016,0.0811948484463943
3.0,43.8,13.9,208.0,4300.0,1.0,0.39736507830388934,0.05397617360030033
3.0,45.5,15.0,220.0,5000.0,0.0,0.4194481121826476,0.08345739692404903
3.0,43.2,14.5,208.0,4450.0,1.0,0.35578128394979197,0.04756923057876078
3.0,50.4,15.3,224.0,5550.0,0.0,0.4655905801340444,0.06811787537103094
3.0,45.3,13.8,208.0,4200.0,1.0,0.4253438852768632,0.07057232262517556
3.0,46.2,14.9,221.0,5300.0,0.0,0.4047734452039914,0.054103074404108185
3.0,45.7,13.9,214.0,4400.0,1.0,0.4163811402115961,0.1280460061840934
3.0,54.3,15.7,231.0,5650.0,0.0,0.36119235847637515,0.05474686384781821
3.0,45.8,14.2,219.0,4700.0,1.0,0.40625678995838244,0.12458873306570735
3.0,49.8,16.8,230.0,5700.0,0.0,0.3503493172435695,0.10117398719230498
3.0,49.5,16.2,229.0,5800.0,0.0,0.361994618174525,0.08370810339010856
3.0,43.5,14.2,220.0,4700.0,1.0,0.4249928966589226,0.10209943451763856
3.0,50.7,15.0,223.0,5550.0,0.0,0.41922665507847107,0.08544138266163641
3.0,47.7,15.0,216.0,4750.0,1.0,0.37521518945028487,0.09007790471297282
3.0,46.4,15.6,221.0,5000.0,0.0,0.30025404890441426,0.09616914329576863
3.0,48.2,15.6,221.0,5100.0,0.0,0.25668549748458186,0.10800805974861304
3.0,46.5,14.8,217.0,5200.0,1.0,0.39806705553977056,0.13174160520231423
3.0,46.4,15.0,216.0,4700.0,1.0,0.3539887349367388,0.019759383695414082
3.0,48.6,16.0,230.0,5800.0,0.0,0.4028847921645966,0.09488156440834856
3.0,47.5,14.2,209.0,4600.0,1.0,0.3178912269559256,0.07156276792319115
3.0,51.1,16.3,220.0,6000.0,0.0,0.3221866590897692,0.07748067857883527
3.0,45.2,13.8,215.0,4750.0,1.0,0.25686517022947986,0.11295719109713483
3.0,45.2,16.4,223.0,5950.0,0.0,0.23620280456619486,0.1111867701269317
3.0,49.1,14.5,212.0,4625.0,1.0,0.30327923651618716,0.22964093262805452
3.0,52.5,15.6,221.0,5450.0,0.0,0.273190319399642,0.22991020994345224
3.0,47.4,14.6,212.0,4725.0,1.0,0.2334951780849394,0.239827043489834
3.0,50.0,15.9,224.0,5350.0,0.0,0.23742708629305853,0.192446616546008
3.0,44.9,13.8,212.0,4750.0,1.0,0.20064013638414865,0.2521983242903615
3.0,50.8,17.3,228.0,5600.0,0.0,0.26828901405625816,0.2223394936967443
3.0,43.4,14.4,218.0,4600.0,1.0,0.2517424077819194,0.2576860102696798
3.0,51.3,14.2,218.0,5300.0,0.0,0.21813942605004125,0.2089963384475394
3.0,47.5,14.0,212.0,4875.0,1.0,0.20671140378733455,0.24216697050639657
3.0,52.1,17.0,230.0,5550.0,0.0,0.2689868128562116,0.27917248295350827
3.0,47.5,15.0,218.0,4950.0,1.0,0.2776612458424559,0.28879837319359797
3.0,52.2,17.1,228.0,5400.0,0.0,0.30703565041533676,0.3467177571366225
3.0,45.5,14.5,212.0,4750.0,1.0,0.2187244070799415,0.24453475379696482
3.0,49.5,16.1,224.0,5650.0,0.0,0.5019638648860959,0.41059838371707985
3.0,44.5,14.7,214.0,4850.0,1.0,0.23769450619244206,0.2641084289990003
3.0,50.8,15.7,226.0,5200.0,0.0,0.26692684394377497,0.2804507764162598
3.0,49.4,15.8,216.0,4925.0,0.0,0.16882552522939587,0.29484318465304993
3.0,46.9,14.6,222.0,4875.0,1.0,0.10692617539402635,0.30062490908021655
3.0,48.4,14.4,203.0,4625.0,1.0,0.22296969798265118,0.27201032539223174
3.0,51.1,16.5,225.0,5250.0,0.0,0.24000935969647838,0.20115634488543377
3.0,48.5,15.0,219.0,4850.0,1.0,0.19643245140478982,0.2571784070544473
3.0,55.9,17.0,228.0,5600.0,0.0,0.2839665056576022,0.20560715844339159
3.0,47.2,15.5,215.0,4975.0,1.0,0.282449733415788,0.2482396382398553
3.0,49.1,15.0,228.0,5500.0,0.0,0.4291002991760128,0.3796222070216381
3.0,46.8,16.1,215.0,5500.0,0.0,0.288892881616553,0.2974369132772293
3.0,41.7,14.7,210.0,4700.0,1.0,0.2051235981347464,0.17654377922974393
3.0,53.4,15.8,219.0,5500.0,0.0,0.3250697798799957,0.2104293889881055
3.0,43.3,14.0,208.0,4575.0,1.0,0.3294696729120356,0.19735241591274216
3.0,48.1,15.1,209.0,5500.0,0.0,0.3447961758954391,0.24510425984332426
3.0,50.5,15.2,216.0,5000.0,1.0,0.256852634921696,0.2580976640966674
3.0,49.8,15.9,229.0,5950.0,0.0,0.27580184185455725,0.25019576770343593
3.0,43.5,15.2,213.0,4650.0,1.0,0.24407915629021773,0.2810636144444069
3.0,51.5,16.3,230.0,5500.0,0.0,0.48192826461199045,0.38908095961768846
3.0,46.2,14.1,217.0,4375.0,1.0,0.2800011699620599,0.32759287746025095
3.0,55.1,16.0,230.0,5850.0,0.0,0.1885895271681901,0.25904168227133917
3.0,48.8,16.2,222.0,6000.0,0.0,0.2950184686868013,0.35070120431957924
3.0,47.2,13.7,214.0,4925.0,1.0,0.1502732697096822,0.2516845307920155
3.0,46.8,14.3,215.0,4850.0,1.0,0.325629690294329,0.27244055006855755
3.0,50.4,15.7,222.0,5750.0,0.0,0.2797295716267487,0.3025098502880028
3.0,45.2,14.8,212.0,5200.0,1.0,0.2549932309337966,0.27820679878794324
3.0,49.9,16.1,213.0,5400.0,0.0,0.3057361568417707,0.2671819045644055
